127.0.0.1 - - [31/Dec/2017:15:13:00 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [31/Dec/2017:15:13:01 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [31/Dec/2017:15:13:02 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:06:55 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:27:04 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:27:04 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:27:04 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:27:06 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:27:10 +0900] "GET /porfolio/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:28:30 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:28:30 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:52:08 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:52:08 +0900] "GET /porfolio/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:16:52:08 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:22:45 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:22:45 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:22:45 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:24 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:24 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:25 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:25 +0900] "GET /porfolio/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:51 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:51 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:52 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:24:52 +0900] "GET /porfolio/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:25:38 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:25:38 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:25:54 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:25:54 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:25:55 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:25:55 +0900] "GET /porfolio/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:26:04 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:26:04 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:22 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:22 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:39 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:39 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:40 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:40 +0900] "GET /porfolio/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:40 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:27:40 +0900] "GET /porfolio/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:28:35 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:28:35 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:30:39 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:30:39 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:30:50 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:30:50 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:14 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:14 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:14 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:30 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:30 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:37 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:37 +0900] "GET /porfolio/css/style.css HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [31/Dec/2017:17:34:55 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 783
