127.0.0.1 - - [11/Jan/2018:13:06:49 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jan/2018:13:06:50 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [11/Jan/2018:13:06:50 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [11/Jan/2018:13:06:50 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:13:06:50 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:13:06:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:19:45 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:19:45 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:19:45 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:19:45 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:19:45 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:20:17 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:20:17 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:20:17 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:20:17 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:20:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:39 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:39 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:39 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:40 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:43 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:43 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:43 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:43 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:57 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:57 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:57 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:58 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:21:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:22:01 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:34 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2453
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:34 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:34 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:34 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:35 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2453
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:35 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:35 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:23:35 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:24:49 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:24:49 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:24:49 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:24:49 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:25:22 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:25:22 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:25:22 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:25:22 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:27:31 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:27:32 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:27:32 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:27:32 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:30:26 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:30:26 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:30:26 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:30:27 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:33:44 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:33:44 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:33:44 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:33:44 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:37:43 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:37:43 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:15 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:15 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:15 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:16 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:55 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:55 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:55 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:39:55 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:40:23 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:40:23 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:40:23 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:40:23 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:41:52 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:41:52 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:41:52 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:41:53 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:44:08 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:44:08 +0900] "GET /porfolio/lib/jquery-3.2.1.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:44:08 +0900] "GET /porfolio/css/style.css?v=0 HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:44:09 +0900] "GET /porfolio/img/jez-timms-2831.jpg HTTP/1.1" 200 65230
0:0:0:0:0:0:0:1 - - [11/Jan/2018:14:45:41 +0900] "GET /porfolio/mypage.jsp HTTP/1.1" 200 2532
